col_name, mapped_col_name
links.self,url
estimated_diameter.kilometers.estimated_diameter_min,est_dim_min_km
estimated_diameter.kilometers.estimated_diameter_max,est_dim_max_km
estimated_diameter.meters.estimated_diameter_min,est_dim_min_m
estimated_diameter.meters.estimated_diameter_max,est_dim_max_m
estimated_diameter.miles.estimated_diameter_min,est_dim_min_ml
estimated_diameter.miles.estimated_diameter_max,est_dim_max_ml
estimated_diameter.feet.estimated_diameter_min,est_dim_min_ft
estimated_diameter.feet.estimated_diameter_max,est_dim_max_ft
orbital_data.orbit_id,orbit_id
orbital_data.orbit_determination_date,orbit_determination_date
orbital_data.first_observation_date,first_observation_date
orbital_data.last_observation_date,last_observation_date
orbital_data.data_arc_in_days,data_arc_in_days
orbital_data.observations_used,observations_used
orbital_data.orbit_uncertainty,orbit_uncertainty
orbital_data.minimum_orbit_intersection,minimum_orbit_intersection
orbital_data.jupiter_tisserand_invariant,jupiter_tisserand_invariant
orbital_data.epoch_osculation,epoch_osculation
orbital_data.eccentricity,eccentricity
orbital_data.semi_major_axis,semi_major_axis
orbital_data.inclination,inclination
orbital_data.ascending_node_longitude,ascending_node_longitude
orbital_data.orbital_period,orbital_period
orbital_data.perihelion_distance,perihelion_distance
orbital_data.perihelion_argument,perihelion_argument
orbital_data.aphelion_distance,aphelion_distance
orbital_data.perihelion_time,perihelion_time
orbital_data.mean_anomaly,mean_anomaly
orbital_data.mean_motion,mean_motion
orbital_data.equinox,equinox
orbital_data.orbit_class.orbit_class_type,orbit_class_type
orbital_data.orbit_class.orbit_class_description,orbit_class_description
orbital_data.orbit_class.orbit_class_range,orbit_class_range
